kappa,repeats,mean_reduction_pct,mean_reduction_pct_min,mean_reduction_pct_max,median_reduction_pct,n_multi_species,n_toward_cattle_min,n_toward_cattle_max,n_countries
50,10,11.119560509078884,10.020713884749505,11.52928794069134,0.7094974448225001,107,99,103,181
200,10,11.719598079893501,11.186111625886316,12.159370032675126,2.0722490396480198,107,104,107,181
1000,10,11.873972222126953,11.741869694549562,12.114164583393814,2.3647337135377016,107,106,107,181
20000,10,11.911858999474289,11.88243637680246,11.9404412866153,2.5576753618985655,107,107,107,181
inf,1,11.906497285537826,11.906497285537826,11.906497285537826,2.378516638658579,107,107,107,181
