n_draws,repeats,mean_reduction_pct_min,mean_reduction_pct_max,mean_reduction_pct_spread_pp,n_identical_vertex_min,n_countries,full_draw_mean_reduction_pct
100,15,11.792052581282043,12.082477236825587,0.2904246555435446,181,181,11.906497285537826
250,15,11.833379984448694,11.965078264549005,0.13169828010031104,181,181,11.906497285537826
500,1,11.906497285537826,11.906497285537826,0.0,181,181,11.906497285537826
