country,country_m49,year,milk_total_tonnes,ch4_total_ktco2e,kg_co2e_per_ton_milk
Burundi,108,2023,97732.6,27.706100000000003,0.28348882563238881
Burundi,108,2020,107546.59,24.1547,0.22459754418991804
Cabo Verde,132,2023,10439.05,1.1184,0.10713618576403026
Cabo Verde,132,2021,10102.24,1.0768,0.10659022157462107
Cabo Verde,132,2022,10271.16,1.0974,0.10684284929842393
Cabo Verde,132,2020,9944.65,1.0571,0.10629836143051791
Cambodia,116,2023,24329.01,11.353,0.46664455314868958
Cambodia,116,2020,24275.57,11.9861,0.49375153703908914
Cambodia,116,2022,24337.99,11.5993,0.47659235622991047
Cambodia,116,2021,24390.45,11.8102,0.4842141083907841
Cameroon,120,2023,283105.89999999997,67.1377,0.23714694748502241
Cameroon,120,2021,298310.44,66.9726,0.22450639005460218
Cameroon,120,2022,283653.66000000003,66.982499999999987,0.23614184988834616
Cameroon,120,2020,265309.72,67.2827,0.25360058425300069
Canada,124,2020,9640572.0,172.60320000000002,0.017903833921887623
Canada,124,2021,9807240.0,171.512,0.017488304558672979
Canada,124,2023,9886559.0,169.7696,0.017171758141533371
Canada,124,2022,9742541.0,170.5616,0.017506890656144018
Chad,148,2023,469294.2,1091.2835,2.3253718030182347
Chad,148,2020,423542.94999999995,900.0183,2.1249752829081445
Chad,148,2022,453517.09000000008,1023.3156999999999,2.2563994225664121
Chad,148,2021,435309.98,958.8171,2.2026076682184037
Chile,152,2020,2351765.3400000003,41.875899999999994,0.017806155779130577
Chile,152,2021,2344641.23,42.113499999999995,0.017961596623462941
Chile,152,2022,2293000.15,41.9853,0.018310203773863689
Chile,152,2023,2232436.66,41.881099999999996,0.018760263505079689
China,159,2020,39335891.629999995,4215.8035999999993,0.10717447667526026
China,159,2023,47263872.29,4687.4202,0.0991755430287026
China,159,2021,41900383.530000009,4400.0975,0.10501329890810188
China,159,2022,44537038.58,4578.0456,0.10279187269662421
"China, Taiwan Province of",158,2022,474534.0,6.3442000000000007,0.013369326539299609
"China, Taiwan Province of",158,2021,461510.0,6.4344,0.013942059760351889
"China, Taiwan Province of",158,2020,450353.52,6.2747,0.013932832144844786
"China, Taiwan Province of",158,2023,483647.0,6.4306,0.013296060970087689
"China, mainland",156,2023,46780165.29,4680.8494,0.10006055709684733
"China, mainland",156,2022,44062444.58,4571.5669,0.10375200340280348
"China, mainland",156,2021,41438813.530000009,4393.5238,0.10602436280708828
"China, mainland",156,2020,38885478.11,4209.3829,0.10825076878551974
Colombia,170,2021,6992670.0,260.2834,0.037222319943598078
Colombia,170,2022,7421000.0,255.89270000000002,0.0344822395903517
Colombia,170,2020,7071404.0,255.26600000000002,0.036098347654864582
Colombia,170,2023,7309000.0,257.1474,0.035182295799699004
Comoros,174,2022,13064.29,0.4587,0.035110978093719596
Comoros,174,2021,13074.2,0.4578,0.035015526762631748
Comoros,174,2023,13091.28,0.45949999999999996,0.035099699952945769
Comoros,174,2020,13049.92,0.4584,0.035126652117407613
Congo,178,2023,4464.75,0.15919999999999998,0.035657091662467104
Congo,178,2021,4470.23,0.1598,0.035747601353845332
Congo,178,2020,4456.09,0.1604,0.035995682313418258
Congo,178,2022,4463.49,0.15949999999999998,0.035734369293982958
Costa Rica,188,2021,1218028.5,58.161,0.047750114221465259
Costa Rica,188,2022,1237029.0,50.821200000000005,0.041083272906294037
Costa Rica,188,2020,1216954.0,61.5447,0.050572741451197
Costa Rica,188,2023,1390704.12,59.4707,0.042763014177307532
Croatia,191,2022,535000.0,16.7113,0.031236074766355145
Croatia,191,2023,479000.0,14.8034,0.030904801670146136
Croatia,191,2020,612000.0,21.2135,0.034662581699346405
Croatia,191,2021,570000.0,20.0316,0.035143157894736848
Cuba,192,2021,377021.0,26.0106,0.068989791019598373
Cuba,192,2022,372306.0,27.273699999999998,0.0732561387675729
Cuba,192,2020,459051.0,26.4636,0.057648496572276282
Cuba,192,2023,233550.0,26.1635,0.11202526225647613
Cyprus,196,2020,347400.0,4.9261,0.014179907887161775
Cyprus,196,2021,382700.0,5.0028,0.013072380454664226
Cyprus,196,2023,303910.0,1.8557,0.006106084038037576
Cyprus,196,2022,366230.0,4.8977,0.013373290009010733
Czechia,203,2023,3475280.0,39.3426,0.011320699339333809
Czechia,203,2020,3267730.0,39.271100000000004,0.012017853372218636
Czechia,203,2022,3339810.0,40.7845,0.012211622816866828
Czechia,203,2021,3309910.0,39.8586,0.012042200543217189
Côte d'Ivoire,384,2020,34668.11,14.9836,0.43220123623699125
Côte d'Ivoire,384,2022,36768.92,15.6591,0.42587870407942363
Côte d'Ivoire,384,2023,37805.47,15.349699999999999,0.40601796512515248
Côte d'Ivoire,384,2021,35759.69,15.4065,0.43083427177360872
Democratic People's Republic of Korea,408,2023,84177.87,2.7762000000000002,0.032980164501667721
Democratic People's Republic of Korea,408,2021,84724.96,2.794,0.032977295002558867
Democratic People's Republic of Korea,408,2020,84911.33,2.7974,0.032944955637840084
Democratic People's Republic of Korea,408,2022,83833.67,2.7674000000000003,0.033010603019049505
Democratic Republic of the Congo,180,2023,9831.99,0.5266,0.053559859194323829
Democratic Republic of the Congo,180,2020,8370.62,0.4408,0.052660376411783116
Democratic Republic of the Congo,180,2021,8831.86,0.4678,0.052967325116113705
Democratic Republic of the Congo,180,2022,9318.52,0.4964,0.053270261801230241
Denmark,208,2020,5666000.0,77.97,0.013761030709495234
Denmark,208,2023,5687000.0,75.4625,0.013269298399859328
Denmark,208,2022,5664000.0,76.728000000000009,0.013546610169491527
Denmark,208,2021,5644000.0,77.14200000000001,0.013667965981573355
Djibouti,262,2021,15208.82,4.7074,0.30951776666434344
Djibouti,262,2020,15127.880000000001,4.7031,0.31088956284687608
Djibouti,262,2023,15290.29,4.727,0.30915044776783174
Djibouti,262,2022,15244.06,4.7171,0.30943856164302691
Dominica,212,2023,6990.94,0.54719999999999991,0.078272735855264092
Dominica,212,2022,6985.2,0.5464,0.078222527629845953
Dominica,212,2020,6975.9,0.5448,0.078097449791424758
Dominica,212,2021,6980.04,0.5456,0.0781657411705377
Dominican Republic,214,2020,891531.27,40.88,0.045853691705059318
Dominican Republic,214,2022,860770.65,41.772200000000005,0.048528838663353592
Dominican Republic,214,2023,862164.34,41.3396,0.04794863123195283
Dominican Republic,214,2021,861564.88,41.366699999999994,0.048013447344789628
Ecuador,218,2023,2105318.28,64.473700000000008,0.030624205666423043
Ecuador,218,2020,2319984.78,72.894,0.031420033712462547
Ecuador,218,2021,2150350.09,64.8326,0.030149788307261168
Ecuador,218,2022,2075997.8,62.4653,0.030089290075355567
Egypt,818,2023,5633666.66,172.41910000000004,0.030605129910188905
Egypt,818,2022,6707000.0,181.5154,0.027063575369017445
Egypt,818,2021,6165000.0,171.52069999999998,0.027821686942416865
Egypt,818,2020,5578000.0,165.6437,0.029695894585873069
El Salvador,222,2022,421000.0,25.2607,0.06000166270783848
El Salvador,222,2020,410391.4,26.088299999999997,0.0635693145616599
El Salvador,222,2021,419550.0,26.7175,0.063681325229412472
El Salvador,222,2023,416980.47,26.0222,0.062406280083093589
Eritrea,232,2023,147781.09,76.2473,0.51594760872314582
Eritrea,232,2022,147778.45,76.0393,0.51454931351628064
Eritrea,232,2021,147645.07,75.6807,0.51258535080107992
Eritrea,232,2020,147503.36,75.854599999999991,0.51425675998160314
Estonia,233,2023,894700.0,11.521400000000002,0.012877389068961664
Estonia,233,2020,849000.0,11.6565,0.013729681978798586
Estonia,233,2021,839400.0,11.5727,0.013786871574934476
Estonia,233,2022,848600.0,11.5766,0.013641998585906197
Eswatini,748,2020,37591.02,5.883,0.15650014285326658
Eswatini,748,2022,38159.18,5.649,0.14803777230013854
Eswatini,748,2023,40575.2,5.582,0.13757171868530532
Eswatini,748,2021,37870.75,5.9267,0.15649808889446343
Ethiopia,231,2022,4196971.4,941.3532,0.22429345122532882
Ethiopia,231,2023,3783826.3499999996,1007.6234000000002,0.266297474248521
Ethiopia,231,2020,3799907.63,922.41159999999991,0.2427457953760839
Ethiopia,231,2021,3790179.1300000004,928.2728,0.24491528451849184
Faroe Islands,234,2020,7556.0,0.1584,0.020963472736897831
Faroe Islands,234,2022,7200.0,0.1023,0.014208333333333333
Faroe Islands,234,2021,7763.0,0.15830000000000002,0.020391601185108851
Faroe Islands,234,2023,7030.0,0.1493,0.021237553342816497
Fiji,242,2022,13904.0,4.0068,0.28817606444188726
Fiji,242,2023,12737.0,5.5049,0.4321975347413049
Fiji,242,2021,11399.0,4.0242,0.35303096762873937
Fiji,242,2020,12393.0,3.9144,0.3158557250060518
Finland,246,2022,2258630.0,33.557500000000005,0.014857457839486771
Finland,246,2020,2406520.0,35.2755,0.014658303276099929
Finland,246,2021,2314850.0,34.2971,0.014816121994945676
Finland,246,2023,2239000.0,32.6053,0.014562438588655649
France,250,2022,25681540.0,510.1718,0.019865311815412942
France,250,2023,25050500.0,500.59549999999996,0.01998345342408335
France,250,2020,26288520.0,538.3049,0.020476805084500765
France,250,2021,25829080.0,526.5012,0.020384047747732403
French Polynesia,258,2022,632.72,0.0559,0.088348716651915529
French Polynesia,258,2021,784.1,0.0557,0.071036857543680651
French Polynesia,258,2023,529.59,0.0525,0.099133291791763431
French Polynesia,258,2020,800.0,0.0559,0.069874999999999993
Gabon,266,2020,10533.63,0.3811,0.036179360771168158
Gabon,266,2021,10626.07,0.3828,0.036024607404242584
Gabon,266,2023,10699.44,0.38539999999999996,0.036020576777850054
Gabon,266,2022,10664.25,0.3842,0.036026912347328688
Gambia,270,2020,49686.97,1.7797,0.035818243696486222
Gambia,270,2023,51890.51,1.7530000000000001,0.033782670472886078
Gambia,270,2021,49500.06,1.7719,0.035795916206970257
Gambia,270,2022,49313.8,1.7641,0.035772947937494165
Georgia,268,2023,601841.0,25.3691,0.042152495426532918
Georgia,268,2020,586070.0,25.754100000000005,0.043943726858566394
Georgia,268,2022,581762.0,26.561799999999998,0.045657502552590233
Georgia,268,2021,605319.0,26.465999999999998,0.043722400915880713
Germany,276,2020,33188890.0,554.76330000000007,0.016715331546189104
Germany,276,2023,34012620.0,512.3691,0.015064087976756861
Germany,276,2021,32506910.0,528.9153,0.016270857488453996
Germany,276,2022,32399050.0,525.74129999999991,0.016227059126733653
Ghana,288,2020,47802.95,17.0924,0.35755952300014965
Ghana,288,2022,49487.6,18.0065,0.36385882524107049
Ghana,288,2023,50460.99,18.2988,0.36263259995493546
Ghana,288,2021,48756.54,17.523200000000003,0.35940204124410807
Greece,300,2021,2027730.0,92.3729,0.045554832250842073
Greece,300,2020,1990330.0,92.933799999999991,0.046692659006295434
Greece,300,2022,1999420.0,87.3464,0.043685868901981582
Greece,300,2023,1962510.0,91.7581,0.046755481500731208
Grenada,308,2022,590.09,0.0582,0.098629022691453849
Grenada,308,2023,581.13,0.0587,0.10101010101010102
Grenada,308,2021,598.8,0.0577,0.096359385437541759
Grenada,308,2020,610.0,0.0574,0.0940983606557377
Guatemala,320,2021,589544.6,52.1545,0.088465741183957933
Guatemala,320,2023,562260.54,53.343599999999995,0.0948734549289196
Guatemala,320,2022,551595.35,52.7495,0.095630791666390949
Guatemala,320,2020,561314.02,51.5486,0.091835582514044445
Guinea,324,2023,293050.41,86.118999999999986,0.29387094186286922
Guinea,324,2022,288759.56,85.405300000000011,0.29576613844403982
Guinea,324,2021,274576.7,80.9983,0.29499334794248749
Guinea,324,2020,261100.36000000002,76.8282,0.29424777507009181
Guinea-Bissau,624,2020,38598.380000000005,11.804100000000002,0.30581853435299616
Guinea-Bissau,624,2022,38842.92,11.904699999999998,0.30648313772497021
Guinea-Bissau,624,2023,38889.2,12.0107,0.30884410067576606
Guinea-Bissau,624,2021,38631.39,11.8797,0.307514174354068
Guyana,328,2020,21000.0,2.8859999999999997,0.1374285714285714
Guyana,328,2022,20436.0,2.8859999999999997,0.14122137404580151
Guyana,328,2023,28591.0,2.8859999999999997,0.10094085551397292
Guyana,328,2021,20989.92,2.8859999999999997,0.13749456882160579
Haiti,332,2021,98529.55,23.2682,0.2361545343503548
Haiti,332,2023,100185.3,23.8178,0.23773747246352508
Haiti,332,2022,100383.79999999999,23.8515,0.23760307938133446
Haiti,332,2020,97514.5,22.9528,0.23537832835116829
Honduras,340,2022,690537.04,37.165899999999993,0.053821732719797323
Honduras,340,2023,693072.71,37.3619,0.053907619591601008
Honduras,340,2020,685749.29,36.776199999999996,0.053629220673345496
Honduras,340,2021,688395.88,36.9698,0.0537042726054665
Hungary,348,2022,2044900.0,38.0328,0.018598855689764781
Hungary,348,2020,2019000.0,35.1999,0.017434323922734026
Hungary,348,2023,2032110.0,36.9039,0.018160385018527542
Hungary,348,2021,2085000.0,38.5129,0.018471414868105517
Iceland,352,2020,155495.0,3.5553,0.022864400784591142
Iceland,352,2023,155975.0,3.9686,0.025443821125180316
Iceland,352,2021,153294.0,3.5564999999999998,0.023200516654272182
Iceland,352,2022,152405.0,3.5492,0.023287949870411075
India,356,2022,230585030.0,11321.7539,0.049100125450468317
India,356,2020,209966925.7,10997.5631,0.052377597392235381
India,356,2023,239306917.23000002,11537.457999999999,0.048211970358179174
India,356,2021,222076560.0,11238.147399999998,0.050604833756430656
Indonesia,360,2020,1558574.06,307.91409999999996,0.19756141713278608
Indonesia,360,2023,1373066.29,293.6867,0.21389112975747146
Indonesia,360,2022,1555819.5300000003,304.9925,0.19603334070501091
Indonesia,360,2021,1549686.83,299.97139999999996,0.19356904517282369
Iran (Islamic Republic of),364,2023,8477193.72,498.76419999999996,0.058836003573125836
Iran (Islamic Republic of),364,2021,8791257.81,526.55559999999991,0.05989536553018001
Iran (Islamic Republic of),364,2020,8344029.25,464.7739,0.0557013747285222
Iran (Islamic Republic of),364,2022,8335310.79,532.1018,0.063837067795764826
Iraq,368,2023,362957.0,84.98,0.23413241788972247
Iraq,368,2020,341250.0,80.227100000000007,0.23509772893772896
Iraq,368,2022,354629.0,83.335000000000008,0.23499206212689885
Iraq,368,2021,348595.42,81.7518,0.23451771110475292
Ireland,372,2021,9039990.0,207.7273,0.022978709047244524
Ireland,372,2023,8730710.0,208.4987,0.023881070382592025
Ireland,372,2020,8561470.0,200.9349,0.023469672848237508
Ireland,372,2022,9108280.0,208.4228,0.022882783577140797
Israel,376,2021,1675589.0,9.037700000000001,0.0053937451248486359
Israel,376,2023,1687299.0,8.7274,0.0051724086839380571
Israel,376,2022,1694864.0,9.358,0.0055213869667418746
Israel,376,2020,1653802.0,9.0841,0.005492858274448815
Italy,380,2023,13842200.0,340.86859999999996,0.024625319674618194
Italy,380,2020,13509520.0,354.1864,0.026217541407836841
Italy,380,2021,13997970.0,347.96569999999997,0.024858297310252842
Italy,380,2022,13971690.0,349.7275,0.025031152280074923
Jamaica,388,2022,208493.36,3.4029,0.01632138308865088
Jamaica,388,2020,202325.89,3.3665,0.016638997609253071
Jamaica,388,2023,208692.23,3.3625000000000003,0.016112243373890826
Jamaica,388,2021,205559.65,3.4720999999999997,0.016890960847617712
Japan,392,2022,7617473.0,67.1623,0.008816874047338271
Japan,392,2021,7592061.0,66.1958,0.0087190816828263112
Japan,392,2020,7438218.0,65.3852,0.00879043878520366
Japan,392,2023,7298933.0,65.2059,0.0089336208456770334
Jordan,400,2023,642700.96,21.2744,0.033101553170233326
Jordan,400,2021,425658.0,22.183,0.05211460844151878
Jordan,400,2022,518882.7,21.3321,0.041111603836474025
Jordan,400,2020,410175.0,21.483800000000002,0.052377156091911993
Kazakhstan,398,2023,3439878.4000000004,124.8344,0.036290352589207805
Kazakhstan,398,2021,3263878.1300000004,119.50849999999998,0.036615490909888838
Kazakhstan,398,2020,3161338.3,115.2843,0.03646692921159371
Kazakhstan,398,2022,3326815.3,121.8779,0.036635006457977994
Kenya,404,2020,5608049.55,780.8148000000001,0.13923108079528293
Kenya,404,2023,6068104.88,741.4552,0.1221889230101771
Kenya,404,2021,6158528.47,744.1464,0.12083185189854291
Kenya,404,2022,5922213.94,664.5332,0.11221026574396262
Kuwait,414,2022,60142.03,5.5808,0.092793675238431433
Kuwait,414,2021,58394.66,5.4686,0.0936489740671493
Kuwait,414,2023,58790.31,5.4131,0.092074697343830988
Kuwait,414,2020,57881.45,5.3187999999999995,0.09189127086484529
Kyrgyzstan,417,2021,1699548.0,70.6934,0.0415954124273042
Kyrgyzstan,417,2022,1734691.0,71.6991,0.041332490916249638
Kyrgyzstan,417,2023,1778261.0,72.860300000000009,0.040972781835737278
Kyrgyzstan,417,2020,1668601.0,69.7772,0.041817786277246624
Lao People's Democratic Republic,418,2023,9070.36,4.6397,0.511523247147853
Lao People's Democratic Republic,418,2022,8822.96,4.4985,0.50986290315268346
Lao People's Democratic Republic,418,2020,8359.06,4.1960999999999995,0.50198228030424474
Lao People's Democratic Republic,418,2021,8576.85,4.3373,0.50569847904533716
Latvia,428,2022,975290.0,17.6908,0.018139015062186632
Latvia,428,2023,963680.0,16.4805,0.017101631246886934
Latvia,428,2021,992220.0,18.164099999999998,0.018306524762653442
Latvia,428,2020,990100.0,18.8324,0.019020704979295023
Lebanon,422,2020,301541.0,7.8289999999999988,0.025963301839550836
Lebanon,422,2021,279590.0,7.9063,0.028278193068421619
Lebanon,422,2023,222576.0,7.834,0.035196966429444324
Lebanon,422,2022,233840.0,7.9208,0.033872733492986661
Lesotho,426,2020,133000.0,5.7966000000000006,0.043583458646616544
Lesotho,426,2022,205000.0,5.312,0.025912195121951219
Lesotho,426,2021,120000.0,5.8488,0.04874
Lesotho,426,2023,225000.0,5.8547,0.026020888888888889
Liberia,430,2020,8207.31,0.3156,0.03845352496737664
Liberia,430,2021,8299.25,0.31,0.037352772840919361
Liberia,430,2022,8321.27,0.31339999999999996,0.037662520264334649
Liberia,430,2023,8344.4,0.31749999999999995,0.038049470303437027
Libya,434,2023,226694.58000000002,61.708200000000005,0.27220853714279364
Libya,434,2021,218884.80000000002,60.208299999999994,0.2750684378266558
Libya,434,2020,228772.07,60.2119,0.26319602738218872
Libya,434,2022,228304.06000000003,60.908,0.26678456791350968
Lithuania,440,2023,1472970.0,29.325,0.019908755779140103
Lithuania,440,2022,1521940.0,31.013799999999996,0.020377807272297196
Lithuania,440,2021,1476890.0,31.153,0.021093649493191775
Lithuania,440,2020,1491670.0,32.2156,0.021597002017872586
Luxembourg,442,2023,469290.0,7.619,0.01623516375801743
Luxembourg,442,2020,447460.0,7.5615999999999994,0.016898940687435748
Luxembourg,442,2022,452430.0,7.7354,0.01709745153946467
Luxembourg,442,2021,443390.0,7.6122,0.017168181510633977
Madagascar,450,2020,456008.55,71.196,0.15612865153515215
Madagascar,450,2021,417927.03,64.335,0.15393835617667512
Madagascar,450,2023,439077.45,68.0823,0.15505760999568527
Madagascar,450,2022,387947.31,58.958499999999994,0.15197553502819749
Malawi,454,2023,224476.33000000002,74.187,0.33048918788007625
Malawi,454,2020,201658.02000000002,64.1697,0.31821050310818283
Malawi,454,2021,205041.13,68.4881,0.33402127660923447
Malawi,454,2022,215907.13,69.8996,0.32374845610703085
Malaysia,458,2021,44588.83,8.3155,0.18649289519370657
Malaysia,458,2020,47506.5,7.4056,0.15588603664761663
Malaysia,458,2022,45019.33,8.0996,0.17991382812671802
Malaysia,458,2023,46300.56,8.1393999999999984,0.17579484999749462
Mali,466,2022,1075052.0,439.0063,0.40835820034751807
Mali,466,2020,996009.0,405.1937,0.406817307875732
Mali,466,2021,1037509.0,421.7331,0.40648620879433334
Mali,466,2023,1114138.0,457.0475,0.41022521447073879
Malta,470,2022,42070.0,1.1444,0.027202281911100547
Malta,470,2023,40390.0,1.1098,0.02747709829165635
Malta,470,2021,42320.0,1.0849,0.025635633270321357
Malta,470,2020,44940.0,1.1185999999999998,0.024890965732087225
Mauritania,478,2020,356064.69,187.9882,0.52796080397637857
Mauritania,478,2021,361918.47000000003,189.8009,0.52442999109716615
Mauritania,478,2023,362460.93999999994,191.8336,0.52925316587216265
Mauritania,478,2022,360574.81,190.8487,0.52929016311483323
Mauritius,480,2021,2602.0,0.14200000000000002,0.054573405073020761
Mauritius,480,2020,2500.0,0.1442,0.057679999999999995
Mauritius,480,2023,2788.0,0.1428,0.051219512195121955
Mauritius,480,2022,2231.0,0.1424,0.063827879874495744
Mexico,484,2021,13411323.129999999,238.3274,0.017770610527374567
Mexico,484,2023,13909700.93,243.7931,0.017526839809632055
Mexico,484,2022,13674326.68,241.1582,0.017635837262299482
Mexico,484,2020,13109108.7,235.9155,0.017996303593088674
Mongolia,496,2023,250535.56999999998,395.75530000000003,1.5796371748730134
Mongolia,496,2022,206065.50999999998,439.4095,2.1323777084287423
Mongolia,496,2021,175243.96999999997,406.41409999999996,2.3191331490607068
Mongolia,496,2020,188477.68000000002,412.7508,2.1899187214104079
Montenegro,499,2021,178446.0,8.293,0.0464734429463255
Montenegro,499,2022,156670.22,8.1123,0.051779463895563559
Montenegro,499,2023,161394.4,8.3272,0.051595346554775129
Montenegro,499,2020,185726.0,9.0646999999999984,0.048806844491347465
