"country_m49","region"
"100",""
"104",""
"108",""
"112",""
"116",""
"12",""
"120",""
"124",""
"132",""
"144",""
"148",""
"152",""
"156",""
"158",""
"159",""
"170",""
"174",""
"178",""
"180",""
"188",""
"191",""
"192",""
"196",""
"203",""
"204",""
"208",""
"212",""
"214",""
"218",""
"222",""
"231",""
"232",""
"233",""
"234",""
"24",""
"242",""
"246",""
"250",""
"258",""
"262",""
"266",""
"268",""
"270",""
"275",""
"276",""
"28",""
"288",""
"300",""
"308",""
"31",""
"32",""
"320",""
"324",""
"328",""
"332",""
"340",""
"344",""
"348",""
"352",""
"356",""
"36",""
"360",""
"364",""
"368",""
"372",""
"376",""
"380",""
"384",""
"388",""
"392",""
"398",""
"4",""
"40",""
"400",""
"404",""
"408",""
"410",""
"414",""
"417",""
"418",""
"422",""
"426",""
"428",""
"430",""
"434",""
"44",""
"440",""
"442",""
"450",""
"454",""
"458",""
"466",""
"470",""
"478",""
"48",""
"480",""
"484",""
"496",""
"498",""
"499",""
"50",""
"504",""
"508",""
"51",""
"512",""
"516",""
"52",""
"524",""
"528",""
"540",""
"548",""
"554",""
"558",""
"56",""
"562",""
"566",""
"570",""
"578",""
"586",""
"591",""
"598",""
"600",""
"604",""
"608",""
"616",""
"620",""
"624",""
"626",""
"630",""
"634",""
"64",""
"642",""
"643",""
"646",""
"662",""
"670",""
"678",""
"68",""
"686",""
"688",""
"690",""
"694",""
"70",""
"703",""
"704",""
"705",""
"706",""
"716",""
"72",""
"724",""
"728",""
"729",""
"740",""
"748",""
"752",""
"756",""
"76",""
"762",""
"764",""
"768",""
"776",""
"780",""
"788",""
"792",""
"795",""
"8",""
"800",""
"804",""
"807",""
"818",""
"826",""
"834",""
"84",""
"840",""
"854",""
"858",""
"860",""
"862",""
"882",""
"887",""
"894",""
"90",""
"96",""
