obs_idx,country_m49,country,year,milk_species,species_share,kg_co2e_per_ton_milk,y_obs,y_rep_mean,y_rep_median,y_rep_p05,y_rep_p95,residual,residual_median_pred,abs_residual,within_90ci
805,414,Kuwait,2023,Raw milk of sheep,0.0050396060167058,12.804441744295938,2.549792122004205,-2.338372650835186,-2.214569653086338,-5.003366722030894,0.5397432625923173,4.88816477283939,4.764361775090543,4.88816477283939,False
802,414,Kuwait,2022,Raw milk of sheep,0.0049823725604207,13.187385282829968,2.579260712266125,-2.2606162243998087,-2.2100832382448465,-5.19882395942404,0.6590308573039649,4.8398769366659335,4.789343950510972,4.8398769366659335,False
799,414,Kuwait,2021,Raw milk of sheep,0.0050948151765932,12.993512823098383,2.5644502193049936,-2.2658952396605763,-2.2147385828159427,-4.959809444233436,0.7245360293909264,4.83034545896557,4.779188802120936,4.83034545896557,False
1241,643,Russian Federation,2020,Raw milk of sheep,0.0001545353480736,33.97551717212291,3.5256401820588916,-1.296779191364106,-1.3394755153043292,-4.357015738982968,1.6977223124982506,4.822419373422997,4.865115697363221,4.822419373422997,False
796,414,Kuwait,2020,Raw milk of sheep,0.0050878131076536,12.726747937111616,2.5437059154481503,-2.2772975248810163,-2.256111249070832,-5.242641990406364,0.604912273223792,4.821003440329166,4.799817164518982,4.821003440329166,False
1245,643,Russian Federation,2021,Raw milk of sheep,0.0001663611051722,30.12498605688789,3.405354928968816,-1.3726648775399883,-1.3769982525146416,-4.369188145300567,1.4626942229572046,4.778019806508804,4.782353181483458,4.778019806508804,False
1249,643,Russian Federation,2022,Raw milk of sheep,0.0001712962405927,27.761355992211016,3.3236449814272935,-1.4273882422632267,-1.375631276943907,-4.254739705592831,1.4332773718731697,4.75103322369052,4.6992762583712,4.75103322369052,False
1253,643,Russian Federation,2023,Raw milk of sheep,0.0001712781182446,26.993056994818648,3.2955796845959755,-1.3722344549365642,-1.334332549332627,-4.394583493051045,1.495995286145586,4.66781413953254,4.629912233928603,4.66781413953254,False
399,203,Czechia,2022,Raw milk of sheep,2.994182303783748e-05,14.266999999999998,2.6579491781326774,-1.9166975493604674,-1.9769039054203772,-4.676439959494291,0.9936949296463286,4.574646727493144,4.634853083553055,4.574646727493144,False
747,398,Kazakhstan,2021,Raw milk of goats,0.0003416150835264,8.675593503080744,2.16051373883342,-2.2808490827651746,-2.2553647473894203,-5.273328886511646,0.868028981504523,4.441362821598595,4.415878486222841,4.441362821598595,False
750,398,Kazakhstan,2022,Raw milk of goats,0.0003625990297688,7.980601840338224,2.0770138272066285,-2.324726857170737,-2.240044605558917,-5.393296637400038,0.5531252909003174,4.401740684377366,4.3170584327655455,4.401740684377366,False
753,398,Kazakhstan,2023,Raw milk of goats,0.0003763505128553,6.732658736289201,1.9069701230401068,-2.3019248068364386,-2.2476947817886326,-5.541922569658022,0.6963031627583353,4.2088949298765455,4.154664904828739,4.2088949298765455,False
744,398,Kazakhstan,2020,Raw milk of goats,0.0003661044438047,8.009037654011646,2.080570610792804,-2.081067748194547,-2.2069304528788596,-5.1652700929041835,1.0587699687603733,4.161638358987352,4.287501063671664,4.161638358987352,False
1455,788,Tunisia,2021,Raw milk of camel,0.0007660513483868,10.346690557636965,2.3366667156942067,-1.654384347334611,-1.549320969696183,-5.190845828676485,1.6654444020991521,3.9910510630288174,3.88598768539039,3.9910510630288174,False
553,300,Greece,2020,Raw milk of buffalo,4.521863208613647e-05,4.7333333333333325,1.5546296759391052,-2.385831171987127,-2.4160818971051166,-4.240846922558047,-0.5450299257105202,3.940460847926232,3.9707115730442215,3.940460847926232,False
1451,788,Tunisia,2020,Raw milk of camel,0.0007812263312474,10.35037964590544,2.337023199802466,-1.5241332192240966,-1.6162269824290547,-5.405774717269603,1.9672322988251316,3.8611564190265626,3.9532501822315207,3.8611564190265626,False
809,417,Kyrgyzstan,2021,Raw milk of goats,0.0003447975579389,6.474744027303753,1.8679090743414322,-1.984405920648706,-1.9983405519381425,-5.255894603566794,1.1925614290923576,3.852314994990138,3.8662496262795747,3.852314994990138,False
1459,788,Tunisia,2022,Raw milk of camel,0.0007832922131768,10.344949152542371,2.336498396013109,-1.5014391471247301,-1.4992111330825277,-4.954920724653123,1.9205979107697055,3.8379375431378393,3.835709529095637,3.8379375431378393,False
811,417,Kyrgyzstan,2022,Raw milk of goats,0.0003159064063859,6.39087591240876,1.854871334489785,-1.9801123712393187,-1.9770092345512145,-5.031804300158353,1.2855286627769384,3.834983705729104,3.831880569040999,3.834983705729104,False
1327,704,Viet Nam,2022,Raw milk of buffalo,0.0223451735251235,4.803117250402044,1.5692651342943706,-2.1951550686508474,-2.177391151069405,-3.9800158675994424,-0.44254746752181595,3.7644202029452183,3.746656285363776,3.7644202029452183,False
1329,704,Viet Nam,2023,Raw milk of buffalo,0.0207425165505357,4.709531354197451,1.5495884029074636,-2.2054061186360436,-2.230624395229689,-3.9565572224746908,-0.4169354413770197,3.754994521543507,3.7802127981371525,3.754994521543507,False
807,417,Kyrgyzstan,2020,Raw milk of goats,0.0003763631928783,6.271178343949044,1.8359642706316999,-1.9159840715389662,-1.9840492425101015,-5.258640747604019,1.145058796329386,3.751948342170666,3.8200135131418014,3.751948342170666,False
1463,788,Tunisia,2023,Raw milk of camel,0.0007785709307157,10.342651281217837,2.3362762463886186,-1.4029238173083618,-1.4918136660359094,-4.818759497768794,2.2397935806206926,3.7392000636969804,3.8280899124245282,3.7392000636969804,False
1325,704,Viet Nam,2021,Raw milk of buffalo,0.0236073025271398,4.8368795443269805,1.576269790559288,-2.1034947300898907,-2.1390761687091384,-3.8606742449957876,-0.37069831043341966,3.6797645206491785,3.7153459592684266,3.6797645206491785,False
1323,704,Viet Nam,2020,Raw milk of buffalo,0.0244677370220351,4.905173844876879,1.5902905347698675,-2.08650036240139,-2.0941028548255556,-3.837776487382411,-0.3321047871520967,3.6767908971712573,3.684393389595423,3.6767908971712573,False
