country_m49,country,delta_struct,delta_within,delta_total,delta_obs,reconstruction_error,weight_interval,weight_interval_norm
90,Solomon Islands,0.0,-0.0003116271425736006,-0.0003116271425736006,-0.0003116271425736006,0.0,3044.755,3.255019153337651e-06
96,Brunei Darussalam,-0.009308361737147254,-0.2064155849361271,-0.21572394667327435,-0.21572394667327421,1.3877787807814457e-16,202.46,2.1644144694227971e-07
100,Bulgaria,-0.00139077908975286,0.0024784604043080046,0.0010876813145551446,0.0010876813145552014,5.681219383824043e-17,910615.0,0.000973500089930574
104,Myanmar,-0.0007288938800573696,-0.003941859326488295,-0.004670753206545665,-0.004670753206545905,2.402592014227878e-16,2169579.41,0.0023194058419271834
108,Burundi,0.04590670816938906,0.012984573273081581,0.05889128144247065,0.0588912814424708,1.5265566588595902e-16,102639.595,0.00010972766203383176
112,Belarus,-2.808868037778973e-07,-0.0019859521306223185,-0.0019862330174260966,-0.001986233017426099,2.6020852139652106e-18,8056294.845000001,0.008612645032329492
116,Cambodia,0.0,-0.02710698389039956,-0.02710698389039956,-0.02710698389039956,0.0,24302.29,2.5980553253042055e-05
120,Cameroon,-0.008102223217602199,-0.008351413550376042,-0.01645363676797824,-0.016453636767978175,6.591949208711867e-17,274207.81,0.00029314400454052015
124,Canada,0.0,-0.0007320757803542972,-0.0007320757803542972,-0.0007320757803542972,0.0,9763565.5,0.010437816082859442
132,Cabo Verde,0.0008421404715461627,-4.316138033845382e-06,0.0008378243335123173,0.000837824333512302,1.5287250632045613e-17,10191.849999999999,1.0895676978260757e-05
144,Sri Lanka,0.004358070052026979,-0.005220613134673621,-0.0008625430826466416,-0.0008625430826467023,6.071532165918825e-17,528572.92,0.0005650750154070229
148,Chad,0.013409466043094818,0.18698705406699612,0.20039652011009093,0.20039652011009013,8.049116928532385e-16,446418.575,0.0004772472701516873
152,Chile,4.35382884454848e-05,0.0009105694375036618,0.0009541077259491467,0.0009541077259490986,4.8030156241107846e-17,2292101.0,0.002450388506262206
156,"China, mainland",-0.009560777493949471,0.0013705658052770159,-0.008190211688672455,-0.0081902116886724,5.551115123125783e-17,42832821.7,0.045790763140218696
158,"China, Taiwan Province of",-0.00023270585050467744,-0.00040406532425242325,-0.0006367711747571007,-0.0006367711747570989,1.734723475976807e-18,467000.26,0.0004992502815213911
170,Colombia,0.0,-0.000916051855165502,-0.000916051855165502,-0.000916051855165502,0.0,7190202.0,0.007686741700519971
174,Comoros,0.0,-2.6952164461899186e-05,-2.6952164461899186e-05,-2.6952164461899186e-05,0.0,13070.6,1.3973227187611188e-05
178,Congo,0.0,-0.00033859065095110524,-0.00033859065095110524,-0.00033859065095110524,0.0,4460.42,4.768446897018094e-06
180,Democratic Republic of the Congo,0.0,0.000899482782540699,0.000899482782540699,0.000899482782540699,0.0,9101.305,9.729821314150968e-06
188,Costa Rica,1.900478826055098e-05,-0.007828732062149957,-0.007809727273889406,-0.007809727273889504,9.80118763926896e-17,1303829.06,0.001393868657076916
191,Croatia,-0.0008857973749593435,-0.0028719826542408945,-0.003757780029200238,-0.003757780029200297,5.898059818321144e-17,545500.0,0.0005831710427097381
192,Cuba,0.0036511773930540162,0.05072558829114583,0.05437676568419985,0.054376765684199906,5.551115123125783e-17,346300.5,0.0003702152588009233
196,Cyprus,-0.0030107302929470612,-0.005063093556177144,-0.008073823849124206,-0.0080738238491242,5.204170427930421e-18,325655.0,0.00034814402550621405
203,Czechia,0.0,-0.0006971540328847992,-0.0006971540328847992,-0.0006971540328847992,0.0,3371505.0,0.0036043337971605784
204,Benin,-0.009864729623940827,-0.01242509641394997,-0.022289826037890797,-0.022289826037890703,9.367506770274758e-17,151886.125,0.0001623750502097005
208,Denmark,0.0,-0.0004917323096358985,-0.0004917323096358985,-0.0004917323096358985,0.0,5676500.0,0.006068506734998769
212,Dominica,0.0,0.00017528606383929168,0.00017528606383929168,0.00017528606383929168,0.0,6983.42,7.4656797856646e-06
214,Dominican Republic,0.0,0.002094939526893505,0.002094939526893505,0.002094939526893505,0.0,876847.8049999999,0.0009374010059387628
218,Ecuador,0.00020947684215454404,-0.0010053048881941131,-0.0007958280460395691,-0.000795828046039497,7.209944447028604e-17,2212651.53,0.0023654524287871626
222,El Salvador,0.0,-0.001163034478566402,-0.001163034478566402,-0.001163034478566402,0.0,413685.935,0.000442254185276449
231,Ethiopia,-0.01154497873088128,0.03509665760331819,0.02355167887243691,0.023551678872437115,2.0469737016526324e-16,3791866.99,0.004053725071264777
232,Eritrea,0.0019331097778864338,-0.00024226103634368763,0.001690848741542746,0.0016908487415426832,6.288372600415926e-17,147642.22499999998,0.00015783807571262282
