obs_idx,y_obs,y_rep_mean,y_rep_median,y_rep_p05,y_rep_p95,residual,residual_median_pred,within_90ci
0,0.1530104218532099,0.47809634595995937,0.504211356388574,-2.863989512665719,3.6742106121827924,-0.32508592410674947,-0.35120093453536405,True
1,-2.130560965607506,-2.0999908914208154,-2.0990625588073986,-2.1659796601485217,-2.0376510387619446,-0.030570074186690555,-0.031498406800107404,True
2,-1.0918950907995522,-0.8937518384730627,-0.8589570142314144,-4.103271356056675,2.2830004093504743,-0.19814325232648944,-0.2329380765681378,True
3,-1.1052221244894622,0.4592125285815016,0.33867311498540453,-2.7084677130452866,3.3650637617410712,-1.5644346530709639,-1.4438952394748668,True
4,0.15404397350130605,0.5989039055084517,0.5372367155126584,-2.934299308283469,4.1687294556818495,-0.4448599320071457,-0.38319274201135234,True
5,-2.103338917191383,-2.104947432793465,-2.105010619919742,-2.171706914297342,-2.035118045044849,0.0016085156020819724,0.0016717027283585928,True
6,-1.068819492893153,-1.0084551806015172,-0.8506978426523821,-3.8859436789356825,2.2452739233238486,-0.06036431229163575,-0.2181216502407708,True
7,-1.1092506266955011,0.3866908961463523,0.3568543807802121,-2.612481822984473,3.2566832697535135,-1.4959415228418536,-1.4661050074757132,True
8,0.1500027317965321,0.6313120987220973,0.6000289313535591,-2.803940537776476,4.131346548910118,-0.48130936692556514,-0.45002619955702694,True
9,-2.0998931875509035,-2.106922951024844,-2.1067721154050494,-2.171740800733599,-2.03716273322804,0.007029763473940687,0.0068789278541459,True
10,-1.0661109785062073,-0.7903757134329926,-0.8732246360693663,-3.816836350155446,2.1884988847971956,-0.27573526507321466,-0.192886342436841,True
11,-1.1157100436126766,0.3846842727654316,0.38959719980573093,-2.664423496068261,3.492877591299992,-1.5003943163781082,-1.5053072434184074,True
12,0.14769456102834905,0.6150205938744356,0.6719547472571614,-2.7416350368062736,3.9603780331718395,-0.4673260328460866,-0.5242601862288123,True
13,-2.096744308378926,-2.11189822367963,-2.1134725691155265,-2.1775328835544365,-2.0474056744206313,0.015153915300703868,0.016728260736600387,True
14,-1.0642647282260678,-0.8266353832770993,-0.8502779917460859,-4.068977051537934,2.241753726921399,-0.23762934494896848,-0.2139867364799819,True
15,-1.119818723645717,0.43298522712944415,0.4088391272433115,-2.413282370904668,3.1983396092391234,-1.5528039507751612,-1.5286578508890285,True
16,-3.0946161874048097,-3.1077679069476667,-3.1082385336909324,-3.1707615607738315,-3.042573988767267,0.013151719542856988,0.013622346286122688,True
17,-3.0346392344798665,-1.9013647562299039,-1.899704857007769,-5.205762881954873,1.29526333682062,-1.1332744782499626,-1.1349343774720975,True
18,-1.796146761740026,-0.534604188162072,-0.6614580402499921,-3.425431770254335,2.1869560106936285,-1.261542573577954,-1.1346887214900339,True
19,-3.10329946895506,-3.1127880085707074,-3.113936772656908,-3.1787304393428286,-3.0472472192298494,0.00948853961564744,0.010637303701848122,True
20,-3.0331140392281406,-1.9018013234220852,-1.8573365338992427,-5.069695679906167,1.2478945887011403,-1.1313127158060554,-1.175777505328898,True
21,-1.8311205913395738,-0.6817263247394811,-0.6306808091032289,-3.6455972803092846,2.2220845215559866,-1.1493942666000927,-1.2004397822363448,True
22,-3.122637166615765,-3.1164198559320186,-3.1167537832845347,-3.1828925654658637,-3.051915641340396,-0.006217310683746202,-0.005883383331230174,True
23,-3.0540632385867217,-1.8428592480980985,-1.840363491152142,-4.940917343327151,1.317631571684656,-1.2112039904886232,-1.2136997474345796,True
24,-1.845180756328585,-0.6278356373436608,-0.6304350660778058,-3.5010144948647635,2.2053490335609722,-1.217345118984924,-1.2147456902507792,True
25,-3.13631783832773,-3.119814778584421,-3.1217842328776397,-3.182189487317144,-3.056867524457138,-0.016503059743309123,-0.014533605450090192,True
26,-3.0992459990838026,-1.7733791243259032,-1.8405594987225946,-5.277985995518171,1.4195399850952002,-1.3258668747578994,-1.258686500361208,True
27,-1.9056974992120457,-0.6540489350397054,-0.6237995659700001,-3.4766739798207675,2.170132163120145,-1.2516485641723403,-1.2818979332420457,True
28,0.34856953044712047,-1.3714108426773628,-1.4121525743113432,-5.01454188918788,1.90563498227879,1.7199803731244834,1.7607221047584636,True
29,-4.035177855537473,-4.0149805023978695,-4.012534392690867,-4.079961699244667,-3.9388257804482603,-0.020197353139603358,-0.0226434628466059,True
30,-2.573748355967708,-2.695054433474134,-2.7570394146332924,-5.716897904216885,0.3920782913944714,0.1213060775064263,0.18329105866558448,True
31,-1.3140907891819427,-1.5846673025274296,-1.5629758977564292,-4.637912040568348,1.2659498406961214,0.27057651334548694,0.24888510857448654,True
32,0.3595316038178904,-1.3842423639648034,-1.3398617217245556,-4.96838260027011,2.1758682427075984,1.7437739677826938,1.699393325542446,True
33,-4.03330347793958,-4.018160836560003,-4.017941083939855,-4.08849814924513,-3.9477145496963275,-0.015142641379577881,-0.015362393999725832,True
34,-2.4916651438028783,-2.7768313377308487,-2.766977873389349,-5.895888780402452,0.38626216453298806,0.2851661939279704,0.2753127295864708,True
35,-1.1861684635890914,-1.6177362831679847,-1.5259659646502883,-4.544736336604272,1.307701906546871,0.43156781957889323,0.3397975010611969,True
36,0.3098583598350299,-1.3006618067847762,-1.3143015973154812,-4.784517835685483,2.153395297562901,1.6105201666198061,1.6241599571505112,True
37,-4.011477020006825,-4.021942666762747,-4.020616034862297,-4.088735426102751,-3.9527831078382065,0.010465646755922542,0.00913901485547175,True
38,-2.506116223467603,-2.840252430036283,-2.790970642496173,-5.938547626298457,0.16492474632924203,0.3341362065686799,0.2848544190285698,True
39,-1.2249555401004106,-1.4690734493498256,-1.497983030110107,-4.482998913849061,1.4599134435515313,0.244117909249415,0.2730274900096963,True
40,0.3193733894508209,-1.5123523001789139,-1.2322885564985528,-4.52051603414861,2.1077928420015204,1.8317256896297347,1.5516619459493737,True
41,-3.969180240501243,-4.027197474526974,-4.027264633204412,-4.096620851342996,-3.9562073713996027,0.058017234025731224,0.05808439270316912,True
42,-2.5068220402276298,-2.7191795133784695,-2.735167800922822,-5.793755510344272,0.15609847173765476,0.21235747315083975,0.2283457606951922,True
43,-1.2196166140156777,-1.5379280514341982,-1.4985589472376237,-4.510501189400025,1.4460174249079676,0.3183114374185205,0.27894233322194606,True
