delta,lambda,alpha,mean,median,q25,q75,cvar,certified
0.01,0.2,0.8,2.441710187478515,1.1970748620881766,0.0,4.1743513381292345,2.648643729820991,181
0.01,0.2,0.9,2.4417101874785145,1.1970748620881766,0.0,4.1743513381292345,2.7074285852210025,181
0.01,0.2,0.95,2.4417101874785145,1.1970748620881766,0.0,4.1743513381292345,2.7639673177426,181
0.01,0.5,0.8,2.441710187478514,1.1970748620881766,0.0,4.1743513381292345,2.64864372982099,181
0.01,0.5,0.9,2.4417101874785145,1.1970748620881766,0.0,4.1743513381292345,2.707428585221003,181
0.01,0.5,0.95,2.4417101874785154,1.1970748620881766,0.0,4.1743513381292345,2.7639673177426007,181
0.01,0.8,0.8,2.4417101874785145,1.1970748620881766,0.0,4.1743513381292345,2.64864372982099,181
0.01,0.8,0.9,2.441710187478514,1.1970748620881766,0.0,4.1743513381292345,2.7074285852210025,181
0.01,0.8,0.95,2.4417101874785154,1.1970748620881766,0.0,4.1743513381292345,2.7639673177426007,181
0.05,0.2,0.8,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,8.732905139479627,181
0.05,0.2,0.9,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,8.914702771107576,181
0.05,0.2,0.95,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,9.090154160573013,181
0.05,0.5,0.8,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,8.732905139479627,181
0.05,0.5,0.9,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,8.914702771107576,181
0.05,0.5,0.95,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,9.090154160573013,181
0.05,0.8,0.8,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,8.732905139479627,181
0.05,0.8,0.9,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,8.914702771107576,181
0.05,0.8,0.95,8.081614985551276,2.3785166386585455,0.0,13.638167673036271,9.090154160573013,181
0.1,0.2,0.8,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,12.778924426508704,181
0.1,0.2,0.9,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,13.014456756566892,181
0.1,0.2,0.95,11.906497285537812,2.3785166386585455,0.0,19.539395201811928,13.232415514838896,181
0.1,0.5,0.8,11.906497285537812,2.3785166386585455,0.0,19.539395201811928,12.778924426508704,181
0.1,0.5,0.9,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,13.014456756566892,181
0.1,0.5,0.95,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,13.232415514838896,181
0.1,0.8,0.8,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,12.778924426508704,181
0.1,0.8,0.9,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,13.014456756566892,181
0.1,0.8,0.95,11.906497285537814,2.3785166386585455,0.0,19.539395201811928,13.232415514838896,181
0.2,0.2,0.8,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,16.992619894126463,181
0.2,0.2,0.9,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,17.27724689222971,181
0.2,0.2,0.95,15.920520725663453,2.3785166386585455,0.0,31.61188040259778,17.53365663181694,181
0.2,0.5,0.8,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,16.992619894126463,181
0.2,0.5,0.9,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,17.27724689222971,181
0.2,0.5,0.95,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,17.533047756654508,181
0.2,0.8,0.8,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,16.992619894126463,181
0.2,0.8,0.9,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,17.27724689222971,181
0.2,0.8,0.95,15.922997705410236,2.3785166386585455,0.0,31.61188040259778,17.533047756654508,181
